;id;date;price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;dis_super;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15;ahf1;ahf2;ahf3
0;7212650950;20140708T000000;336000.0;4;2.5;2530;8169;2.0;0.0;562.16;0.0;3.0;8.0;2530.0;0.0;1993.0;0;98003;47.2634;-122.312;2220;8013;24.65845900529476;108.18399933124178;132.84245833653654
1;3616600250;20140527T000000;1600000.0;3;3.25;3790;19000;2.0;0.0;1462.74;4.0;3.0;10.0;3790.0;0.0;1985.0;0;98177;47.724;-122.373;2740;18628;18.68206116754145;83.2130159488089;101.89507711635035
2;1826049225;20150417T000000;460000.0;4;1.75;1870;8663;1.0;0.0;599.53;0.0;5.0;7.0;1870.0;0.0;1949.0;0;98133;47.7366;-122.35;1560;7800;75.07804984081716;101.08282661395272;176.1608764547699
3;1337800830;20150107T000000;998500.0;3;1.75;2140;4800;2.0;0.0;970.84;0.0;3.0;8.0;1690.0;450.0;1905.0;0;98112;47.6311;-122.312;2440;4800;49.367640119912984;97.74970649903095;147.11734661894394
4;3062600050;20140714T000000;745000.0;3;2.75;3010;12432;1.0;0.0;1157.55;0.0;4.0;8.0;1890.0;1120.0;1970.0;0;98052;47.6392;-122.108;2500;12432;43.34363482279274;98.28245068198517;141.6260855047779
5;2473250400;20140924T000000;325000.0;4;2.0;1780;10622;1.0;0.0;954.21;0.0;4.0;7.0;900.0;880.0;1976.0;0;98058;47.4573;-122.158;1550;8900;73.81261030476176;123.31595307365004;197.1285633784118
6;9294300495;20141114T000000;810000.0;4;2.25;2020;5600;1.0;0.0;1101.54;2.0;4.0;8.0;1210.0;810.0;1961.0;0;98115;47.6821;-122.267;2660;6050;17.403226219858382;87.96938344272988;105.37260966258826
7;4452300130;20140522T000000;677000.0;3;2.0;2000;3207;1.0;0.0;483.84;0.0;4.0;7.0;1100.0;900.0;1916.0;0;98103;47.6561;-122.341;1460;3200;42.24639942925234;90.3740857870635;132.62048521631584
8;7954300120;20140822T000000;600000.0;4;2.5;2600;6536;2.0;0.0;1121.68;0.0;3.0;9.0;2600.0;0.0;1999.0;0;98056;47.5232;-122.191;2640;6185;17.351595929989458;91.84534193549032;109.19693786547978
9;7980900011;20150427T000000;412450.0;3;2.0;1910;13505;1.0;0.0;727.1;0.0;3.0;8.0;1910.0;0.0;1955.0;0;98034;47.7114;-122.23;2010;8000;42.06211365430495;82.26405505905474;124.32616871335969
10;853400240;20150325T000000;847000.0;6;2.5;3010;17864;2.0;0.0;1063.64;0.0;3.0;8.0;3010.0;0.0;1969.0;0;98177;47.7209;-122.372;2560;11532;18.77316903294694;96.42586278630844;115.19903181925538
11;3395040550;20150429T000000;320000.0;3;2.5;1530;2890;2.0;0.0;935.3;0.0;3.0;7.0;1530.0;0.0;2001.0;0;98108;47.5434;-122.293;1540;2890;85.24411070578167;113.96376523854484;199.2078759443265
12;7875200005;20150115T000000;140000.0;3;1.0;1000;10560;1.0;0.0;1209.43;0.0;3.0;7.0;1000.0;0.0;1955.0;0;98003;47.3217;-122.317;1190;9375;80.32252542771583;117.0488866913877;197.37141211910352
13;2787700150;20150422T000000;365000.0;4;2.5;2030;7210;1.0;0.0;319.41;0.0;5.0;7.0;1330.0;700.0;1969.0;0;98059;47.5067;-122.16;1980;7560;72.14549764193315;94.47752276450774;166.6230204064409
14;2193340120;20140604T000000;572000.0;3;2.25;1830;7897;1.0;0.0;776.69;0.0;4.0;8.0;1290.0;540.0;1986.0;0;98052;47.6914;-122.103;1990;8306;30.558474049897207;90.04645376507968;120.60492781497689
15;1826049430;20140520T000000;372500.0;4;1.75;1590;10523;2.0;0.0;533.6;0.0;4.0;7.0;1590.0;0.0;1922.0;0;98133;47.7358;-122.342;1610;8568;52.6860995597061;116.04081517219969;168.7269147319058
16;7695500240;20140514T000000;345000.0;3;2.25;2120;15003;2.0;0.0;512.12;0.0;3.0;7.0;2120.0;0.0;1984.0;0;98059;47.4745;-122.12;2070;15203;48.473891471093424;83.68491607837507;132.1588075494685
17;7853280620;20141212T000000;689000.0;4;3.5;4490;5805;2.0;0.0;805.67;0.0;3.0;9.0;3390.0;1100.0;2006.0;0;98065;47.5389;-121.86;4410;6299;41.97020734269688;99.07017988317446;141.04038722587134
18;2423039122;20140718T000000;327000.0;4;1.0;1900;9000;1.0;0.0;1271.39;0.0;4.0;7.0;1290.0;610.0;1948.0;0;98166;47.4629;-122.361;1950;10800;22.311485493153725;107.31686998803447;129.62835548118818
19;2303900090;20140729T000000;2880500.0;4;2.5;5760;32033;2.0;0.0;699.46;4.0;4.0;12.0;4390.0;1370.0;1994.0;0;98177;47.7288;-122.37;3420;28475;33.74413903931404;125.24326810848444;158.98740714779848
20;5067400032;20141205T000000;550000.0;3;2.5;3070;14400;1.0;0.0;698.82;3.0;5.0;9.0;1720.0;1350.0;1985.0;0;98198;47.3716;-122.321;2020;18211;31.645682813667158;116.34776831445076;147.99345112811793
21;9324800025;20141125T000000;325500.0;3;1.5;1540;8110;1.0;0.0;1437.37;0.0;4.0;7.0;1190.0;350.0;1959.0;0;98125;47.7329;-122.291;1290;8110;43.65679451136431;97.6544010371294;141.3111955484937
22;4250200140;20150219T000000;298500.0;4;2.5;1890;5954;2.0;0.0;1041.76;0.0;3.0;7.0;1890.0;0.0;2004.0;0;98092;47.3293;-122.194;2030;5880;48.6353216130553;127.50759516284798;176.14291677590327
23;7523700245;20141015T000000;240000.0;3;1.0;1350;7560;1.0;0.0;1096.69;0.0;4.0;7.0;950.0;400.0;1959.0;0;98032;47.3784;-122.303;1470;7560;31.938627824145655;110.98524450442494;142.9238723285706
24;3756500060;20150309T000000;438000.0;3;1.75;1780;9660;1.0;0.0;1488.05;0.0;3.0;7.0;1780.0;0.0;1962.0;0;98034;47.7171;-122.193;1200;9660;57.91905213433916;93.31323915554583;151.23229128988498
25;8651720150;20140721T000000;492500.0;4;2.75;2760;18306;1.0;0.0;1690.63;0.0;3.0;7.0;1630.0;1130.0;1978.0;0;98034;47.7302;-122.215;2470;9856;67.18920027716105;97.27823560250495;164.467435879666
26;1954430390;20140707T000000;575000.0;4;2.5;2400;6137;2.0;0.0;901.54;0.0;3.0;8.0;2400.0;0.0;1990.0;0;98074;47.6187;-122.04;2120;7468;67.12504223381964;117.57749826679577;184.7025405006154
27;9150100020;20150211T000000;189000.0;3;1.0;1380;7282;1.5;0.0;779.49;0.0;5.0;6.0;1380.0;0.0;1915.0;0;98002;47.3006;-122.223;860;4826;50.204334380169364;120.73056468883077;170.93489906900012
28;5013500110;20141112T000000;425000.0;2;1.0;1070;6625;1.0;0.0;1072.17;0.0;3.0;7.0;830.0;240.0;1950.0;0;98116;47.5736;-122.393;1310;6625;11.82100270631635;107.62135451350403;119.44235721982038
29;1623300055;20150323T000000;823000.0;5;1.75;2640;7722;1.5;0.0;840.41;0.0;4.0;7.0;1650.0;990.0;1915.0;0;98117;47.6802;-122.361;1750;4000;47.701917651513156;101.794099425375;149.49601707688817
30;1873100490;20150502T000000;760000.0;4;2.5;3520;8095;2.0;0.0;810.9;0.0;3.0;9.0;3520.0;0.0;2006.0;0;98052;47.7065;-122.109;2460;4676;65.54661381769948;120.19396070682821;185.7405745245277
31;8029900110;20141114T000000;430000.0;4;2.5;3000;9460;2.0;0.0;847.04;0.0;3.0;9.0;3000.0;0.0;2001.0;0;98031;47.3959;-122.211;3000;8450;85.63574539122267;138.02421208546286;223.65995747668552
32;3758900023;20140521T000000;1130000.0;4;3.25;3810;8519;1.0;0.0;876.73;1.0;3.0;10.0;2680.0;1130.0;2007.0;0;98033;47.699;-122.207;3240;10748;29.291891416481683;127.92440994304572;157.2163013595274
33;5418500650;20150325T000000;586000.0;4;2.25;1930;8338;1.0;0.0;673.53;0.0;3.0;8.0;1930.0;0.0;1968.0;0;98125;47.7026;-122.285;2280;7616;22.770069602170892;114.8311926590357;137.60126226120659
34;4302200535;20140506T000000;219000.0;2;1.0;900;5160;1.0;0.0;1048.14;0.0;3.0;6.0;900.0;0.0;1952.0;0;98106;47.525;-122.356;900;5160;55.89411930507086;96.80004438507792;152.6941636901488
35;7805460760;20150427T000000;885000.0;3;2.5;2880;11443;2.0;0.0;576.5;0.0;4.0;9.0;2880.0;0.0;1986.0;0;98006;47.5633;-122.111;2840;12530;70.8894656764665;90.76423400410272;161.65369968056922
36;952006827;20150422T000000;390000.0;3;2.5;1310;1254;2.0;0.0;1243.1;0.0;3.0;7.0;850.0;460.0;2007.0;0;98116;47.5622;-122.384;1310;1372;45.844653847780855;110.27063592433409;156.11528977211495
37;9178601000;20140730T000000;715000.0;3;2.0;1760;5400;1.0;0.0;1116.12;0.0;5.0;7.0;1160.0;600.0;1927.0;0;98103;47.6558;-122.331;1640;5400;36.118617453122255;104.16434927128674;140.282966724409
38;8570900023;20141010T000000;255000.0;3;1.0;1250;10094;1.0;0.0;1072.37;0.0;4.0;6.0;1250.0;0.0;1927.0;0;98045;47.4987;-121.781;1300;10094;15.032207261534694;111.59786822264519;126.63007548417988
39;1770000330;20141003T000000;500000.0;4;2.75;2630;15000;1.0;0.0;951.27;0.0;4.0;7.0;1690.0;940.0;1976.0;0;98072;47.7425;-122.089;1800;16500;34.39572734317049;99.00137869027473;133.39710603344523
40;6021501780;20140818T000000;578000.0;3;1.0;1500;4500;1.0;0.0;910.12;0.0;3.0;7.0;1120.0;380.0;1938.0;0;98117;47.6873;-122.385;1440;4500;56.20242496773109;121.0801838643799;177.282608832111
41;4232900250;20140710T000000;525000.0;2;1.5;1340;3600;1.5;0.0;716.51;0.0;3.0;7.0;1340.0;0.0;1903.0;0;98119;47.6358;-122.364;1340;3600;31.911858964337178;88.81470936745109;120.72656833178826
42;7230200310;20150409T000000;289571.0;3;1.5;1340;25160;1.0;0.0;1350.6;0.0;3.0;7.0;1340.0;0.0;1968.0;0;98059;47.475;-122.111;1440;23680;57.03454972585787;105.55026917109325;162.5848188969511
43;1423089134;20140815T000000;590000.0;3;2.25;2680;41250;2.0;0.0;921.31;0.0;3.0;7.0;2680.0;0.0;1984.0;0;98045;47.4817;-121.749;1940;47044;69.05818456698181;108.56960989430615;177.62779446128798
44;7547300050;20140515T000000;295000.0;3;1.5;850;2500;1.0;0.0;1326.32;0.0;3.0;7.0;850.0;0.0;1986.0;0;98106;47.5677;-122.36;850;5000;75.59065431599586;114.55382597082654;190.1444802868224
45;9477580030;20141014T000000;962000.0;4;2.75;3340;5700;2.0;0.0;1029.09;0.0;3.0;11.0;3340.0;0.0;2013.0;0;98059;47.5059;-122.146;3340;6940;56.64492807109945;96.38283836665391;153.02776643775337
46;1775500310;20150121T000000;455000.0;4;1.75;3060;94089;1.0;0.0;693.47;0.0;3.0;8.0;3060.0;0.0;1958.0;0;98072;47.744;-122.087;2180;43995;16.885411198317613;93.36042545409956;110.24583665241717
47;3294700421;20150225T000000;389000.0;3;1.5;2030;10075;1.0;0.0;1262.68;0.0;5.0;7.0;1080.0;950.0;1961.0;0;98055;47.4713;-122.197;2210;10075;32.8257444171881;110.08964174411135;142.91538616129944
48;5035300570;20140923T000000;650000.0;3;2.0;2300;5000;1.0;0.0;1298.81;0.0;4.0;8.0;1150.0;1150.0;1938.0;0;98199;47.6521;-122.413;2300;5000;24.25545092228888;115.4174539319517;139.67290485424058
49;9117100130;20140812T000000;368500.0;5;1.75;2810;9360;1.0;0.0;1441.85;0.0;4.0;7.0;1520.0;1290.0;1965.0;0;98055;47.4361;-122.193;1770;9360;30.604293670387918;117.87782991636568;148.4821235867536
50;7655900031;20150306T000000;240000.0;2;1.0;590;8717;1.0;0.0;765.04;0.0;3.0;6.0;590.0;0.0;1953.0;0;98133;47.7343;-122.335;1370;6760;11.589278175783534;111.1631711026938;122.75244927847733
51;8682260850;20140729T000000;504975.0;2;2.5;1900;4871;2.0;0.0;1214.84;0.0;3.0;8.0;1900.0;0.0;2005.0;0;98053;47.7132;-122.034;1640;4780;72.49144069533043;125.01201981309595;197.50346050842637
52;9282801030;20140925T000000;440000.0;5;3.0;2730;6000;1.0;0.0;714.06;0.0;3.0;8.0;1470.0;1260.0;1979.0;0;98178;47.4994;-122.234;2590;6000;30.974406743873047;97.8686326731407;128.84303941701376
53;1972200227;20141007T000000;99999999.0;3;1.5;1160;1031;3.0;0.0;1002.29;0.0;3.0;8.0;1160.0;0.0;2008.0;0;98103;47.6538;-122.357;1268;1688;69.36020740428245;83.69996088166198;153.06016828594443
54;8091410080;20140729T000000;267500.0;3;1.75;1650;7807;1.0;0.0;674.07;0.0;3.0;7.0;1650.0;0.0;1986.0;0;98030;47.3514;-122.167;1810;8475;18.227795028947284;85.98787203793151;104.2156670668788
55;2436700610;20150422T000000;550000.0;4;2.0;1720;4000;1.0;0.0;1005.89;0.0;3.0;7.0;1420.0;300.0;1950.0;0;98105;47.6651;-122.285;1350;1281;18.07562266166903;134.15710068741976;152.2327233490888
56;8113101000;20140722T000000;336000.0;4;1.0;1780;4310;1.5;0.0;1086.69;0.0;5.0;6.0;1780.0;0.0;1919.0;0;98118;47.5486;-122.278;1460;4310;74.57367946732607;121.01946693391744;195.59314640124353
57;3421069118;20141120T000000;297000.0;2;1.75;1280;37373;1.0;0.0;952.2;0.0;4.0;7.0;1280.0;0.0;1996.0;0;98022;47.2631;-122.019;2180;48351;30.02554235802883;113.39855909687262;143.42410145490146
58;2600100300;20140916T000000;623000.0;4;2.5;2980;9235;1.0;0.0;1150.98;0.0;4.0;8.0;1690.0;1290.0;1977.0;0;98006;47.5513;-122.162;2690;10046;42.7763406279515;92.3591897930285;135.13553042098
59;3378100100;20150317T000000;345000.0;4;1.5;1540;7168;1.0;0.0;883.31;0.0;3.0;7.0;1160.0;380.0;1964.0;0;98055;47.455;-122.198;1540;7176;49.8683134372353;92.69016878837141;142.55848222560672
60;1598600320;20150416T000000;339900.0;4;1.5;1570;9210;1.0;0.0;1030.02;2.0;3.0;7.0;1400.0;170.0;1965.0;0;98030;47.3864;-122.22;2326;9210;33.874244018886145;105.3099345486359;139.18417856752205
61;5700000275;20140528T000000;635000.0;3;2.5;2300;5500;1.5;0.0;1228.65;0.0;4.0;8.0;2000.0;300.0;1921.0;0;98144;47.5785;-122.293;2100;5000;19.57108375115959;102.82952854495562;122.40061229611521
62;2481630200;20140614T000000;883000.0;4;2.5;2960;41656;2.0;0.0;481.74;0.0;3.0;10.0;2960.0;0.0;1985.0;0;98072;47.7319;-122.132;3900;35104;63.425592449553605;91.64318621525268;155.0687786648063
63;1732600050;20141017T000000;423500.0;3;2.0;2000;10490;1.0;0.0;911.02;0.0;3.0;8.0;1430.0;570.0;1978.0;0;98033;47.6976;-122.166;1530;7659;50.60142939493826;84.74601211018776;135.34744150512603
64;4083306720;20140915T000000;560000.0;4;1.5;1790;3420;1.0;0.0;932.94;0.0;4.0;7.0;1020.0;770.0;1923.0;0;98103;47.6489;-122.337;1680;3420;70.24798197428818;106.96555075157599;177.21353272586418
65;1760600009;20140829T000000;229000.0;3;1.0;1030;7800;1.0;0.0;1247.57;0.0;3.0;7.0;1030.0;0.0;1954.0;0;98168;47.473;-122.324;1630;12664;50.59192231431167;107.56821479248103;158.1601371067927
66;546000865;20140919T000000;556000.0;3;1.0;1800;4005;1.5;0.0;1358.66;0.0;4.0;7.0;1160.0;640.0;1929.0;0;98117;47.6876;-122.38;1240;4005;74.0886115206161;99.96997358476726;174.05858510538337
67;5547700190;20150330T000000;672500.0;3;2.5;2450;5760;2.0;0.0;1144.65;0.0;3.0;9.0;2450.0;0.0;2000.0;0;98074;47.6145;-122.026;2450;5762;54.993809838784;105.60951556725963;160.60332540604364
68;1771000690;20140528T000000;305000.0;3;1.0;1160;11776;1.0;0.0;701.48;0.0;3.0;7.0;1160.0;0.0;1968.0;0;98077;47.7427;-122.074;1160;10050;77.70729941058742;105.50901080782421;183.21631021841165
69;7520000020;20140523T000000;244000.0;4;1.0;1450;8960;1.0;0.0;890.69;0.0;3.0;6.0;1450.0;0.0;1943.0;0;98146;47.4972;-122.348;1160;7680;13.82565539270324;107.64058194550798;121.46623733821122
70;4027701294;20150129T000000;485000.0;3;2.75;2650;12350;1.0;0.0;563.97;0.0;4.0;7.0;1470.0;1180.0;1975.0;0;98028;47.7669;-122.268;1950;14075;59.079318163042046;118.69803669610654;177.7773548591486
71;3981200250;20140926T000000;450000.0;3;2.5;2620;14096;2.0;0.0;1119.83;0.0;4.0;9.0;2620.0;0.0;1989.0;0;98042;47.3513;-122.1;3010;14096;66.9455942575648;92.08781406311026;159.03340832067505
72;7635801370;20140904T000000;530000.0;3;2.0;3080;17700;1.0;0.0;616.71;0.0;4.0;8.0;1740.0;1340.0;1965.0;0;98166;47.4695;-122.366;2100;15100;56.25645332200533;93.91212261791081;150.16857593991614
73;7935000450;20140919T000000;1050000.0;3;2.25;2480;15022;1.0;0.0;992.61;4.0;3.0;9.0;1330.0;1150.0;1967.0;2003;98136;47.5497;-122.396;2500;8178;84.44215088051959;111.93575873153831;196.37790961205792
74;148000035;20140602T000000;544000.0;3;1.5;1790;8203;1.5;0.0;274.33;1.0;3.0;7.0;1790.0;0.0;1910.0;0;98116;47.5768;-122.403;1960;6047;79.95593855886399;111.50017195150089;191.45611051036488
